step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
161,DEBIT,452.53,26816.12,26363.59,46881.05,35829.18,0
384,TRANSFER,7146.08,23202.5,16056.42,2748.24,23015.15,0
168,CASH_OUT,3318.23,8148.41,4830.18,2793.78,69204.12,0
371,CASH_OUT,5631.7,21008.81,15377.11,27437.97,83597.56,0
130,PAYMENT,8449.37,7506.03,0,42228.2,36716.89,0
371,PAYMENT,6975.02,32444.01,25468.99,13066.53,45547.08,0
299,CASH_OUT,20832.97,48767.46,27934.49,23610.99,45678.65,1
422,PAYMENT,1093.63,28844.28,27750.65,39876.7,81422.8,0
407,TRANSFER,3233.82,14259.57,11025.75,7207.49,57815.26,0
470,PAYMENT,7865.72,31341.37,23475.65,26128.1,41959.38,0
482,PAYMENT,2104.96,29877.51,27772.55,4646.46,96741.46,0
478,CASH_IN,9614.51,23333.56,32948.06,45627.91,2642.21,0
480,TRANSFER,9248.29,24927.37,15679.08,3998.48,45960.63,0
255,CASH_OUT,4519.73,34466.15,29946.42,43492.65,51491.4,0
465,CASH_IN,3205.05,9247.75,12452.8,36126.66,27929.96,0
569,PAYMENT,5399.77,47916.18,42516.41,1625.57,39769.85,0
200,CASH_OUT,5532.68,4139.82,0,25212.78,76440.41,0
364,CASH_OUT,6732.26,24630.94,17898.69,36826.31,88963.24,0
502,CASH_OUT,5787.38,17768.53,11981.15,32091.3,44967.31,0
645,CASH_OUT,3279.58,8381.25,5101.67,49607.54,67874.71,0
638,CASH_OUT,7985.68,15544.64,7558.97,12977.09,36336.86,0
373,CASH_IN,8434.97,28255.63,36690.6,7668.38,82436.21,0
162,TRANSFER,335.82,12808.72,12472.9,15501.37,29275.51,0
2,CASH_IN,8490.21,36497.14,44987.36,5197.45,52981.45,0
585,DEBIT,9329.42,26336.9,17007.48,41449.08,94967.45,0
509,DEBIT,2238.7,14543.0,12304.31,19669.67,33865.76,0
391,CASH_OUT,7459.83,42860.77,35400.94,19833.72,1073.74,0
357,CASH_IN,1628.73,7274.06,8902.8,16544.66,80909.79,0
713,TRANSFER,3775.23,1804.17,0,48245.66,37168.42,0
266,PAYMENT,218.98,3691.37,3472.39,45124.8,44343.13,0
362,CASH_IN,4649.98,23351.19,28001.17,46172.3,84648.16,0
365,DEBIT,7377.96,27868.15,20490.2,26726.86,10200.55,0
661,PAYMENT,8146.91,42831.69,34684.78,28692.62,10948.08,0
628,CASH_OUT,9378.24,46466.02,37087.78,27399.02,38884.58,0
362,CASH_IN,8274.84,18219.3,26494.15,8859.33,76796.58,0
98,CASH_IN,5789.77,4733.97,10523.73,3034.35,3334.37,0
661,CASH_OUT,3121.45,28312.26,25190.81,48410.34,94901.08,1
445,CASH_OUT,5714.66,5422.34,0,3174.92,90888.05,0
120,PAYMENT,1718.18,24117.43,22399.25,34590.31,86878.05,0
714,CASH_IN,6779.33,48632.16,55411.49,34686.04,33204.65,0
724,CASH_OUT,8034.46,13546.09,5511.63,18511.43,90005.29,0
115,DEBIT,4365.87,27008.76,22642.89,16615.79,55060.11,0
131,TRANSFER,7453.27,48780.3,41327.03,12863.0,38100.6,0
739,CASH_OUT,2280.25,37065.64,34785.39,35979.28,96958.86,1
10,CASH_IN,7382.0,44386.42,51768.43,28966.58,60782.98,0
678,CASH_IN,106.67,30079.26,30185.94,17158.48,37491.59,0
283,CASH_IN,6349.22,2165.45,8514.67,27843.69,79965.74,0
95,CASH_OUT,9723.22,17238.82,7515.6,20632.09,75085.07,0
183,TRANSFER,9389.47,9449.6,60.13,30449.42,33178.52,0
377,CASH_OUT,7032.61,29920.14,22887.54,2273.77,5779.29,0
156,CASH_IN,5299.87,20578.76,25878.63,13650.42,54567.0,0
191,DEBIT,7262.82,42869.29,35606.47,39204.65,34396.94,0
432,PAYMENT,1241.8,8971.42,7729.61,16343.74,38285.75,0
450,TRANSFER,214.51,19199.56,18985.06,36219.96,25069.62,0
99,CASH_IN,4914.46,14980.29,19894.75,28148.76,72320.45,0
207,TRANSFER,2727.85,1942.52,0,39483.49,27777.2,0
442,PAYMENT,8906.91,38821.66,29914.75,19381.71,20882.06,0
581,PAYMENT,142.13,26528.97,26386.83,38667.97,92828.49,0
285,CASH_IN,1642.8,15703.77,17346.56,43491.57,64838.3,0
550,TRANSFER,48658.48,38474.9,0,27602.03,82940.47,1
103,CASH_OUT,8401.6,30647.14,22245.54,1447.36,32437.47,1
31,CASH_IN,3217.19,47200.76,50417.95,30360.48,25038.29,0
42,CASH_IN,6498.47,41962.58,48461.05,19252.94,29005.59,0
273,CASH_OUT,7464.68,19412.64,11947.96,21565.43,20660.6,0
534,CASH_OUT,22956.32,96438.59,73482.27,3041.27,47898.19,1
176,DEBIT,465.53,9715.45,9249.92,3887.72,37140.36,0
649,CASH_IN,4172.17,4881.76,9053.94,38515.72,39390.81,0
77,DEBIT,3638.49,25165.21,21526.72,36931.42,40687.09,0
258,DEBIT,8131.17,5234.46,0,10007.1,52788.02,0
364,TRANSFER,8117.28,32033.71,23916.43,21128.16,96690.68,0
690,PAYMENT,8538.74,16488.46,7949.72,42217.08,40687.59,0
101,TRANSFER,7932.54,20158.02,12225.48,39529.29,86297.82,0
197,CASH_IN,7858.33,42691.69,50550.01,30506.16,15713.27,0
461,DEBIT,1750.35,45561.2,43810.86,17442.25,33119.57,0
475,DEBIT,8624.52,39707.88,31083.35,18740.83,30689.9,0
557,DEBIT,6581.43,9378.05,2796.61,42521.38,1565.81,0
666,PAYMENT,8735.34,41851.93,33116.59,21767.22,95214.64,0
578,TRANSFER,5922.68,27508.64,21585.96,34085.63,55009.92,0
399,DEBIT,5113.84,10055.06,4941.22,45660.34,45776.89,0
437,DEBIT,2919.93,20894.68,17974.75,23651.44,81020.53,0
540,CASH_IN,6019.82,3873.42,9893.24,1102.74,83302.06,0
291,DEBIT,5582.32,16998.69,11416.37,18869.34,10700.89,0
582,TRANSFER,973.23,18718.46,17745.23,32288.61,97094.02,0
614,CASH_OUT,8768.26,19239.27,10471.0,31778.88,58387.82,0
78,CASH_IN,7247.07,6026.48,13273.55,23573.8,86003.24,0
629,DEBIT,3294.9,29130.59,25835.69,37715.65,4540.9,0
141,CASH_OUT,1163.06,26227.74,25064.69,34905.72,5193.96,0
557,CASH_IN,588.55,16534.31,17122.86,24027.62,85521.27,0
151,CASH_IN,4462.44,10654.11,15116.56,27221.26,78834.16,0
237,TRANSFER,9587.97,31774.28,22186.31,6573.05,27766.72,0
501,CASH_OUT,45276.29,84764.27,39487.98,4614.92,42357.58,1
599,TRANSFER,1734.35,8265.43,6531.08,47855.92,24726.62,0
293,TRANSFER,337.06,30175.99,29838.93,25790.68,23167.1,0
405,TRANSFER,5714.91,13425.45,7710.54,12910.4,82481.46,0
41,PAYMENT,8996.54,10833.46,1836.92,21885.91,42337.67,0
600,CASH_IN,7897.39,27554.43,35451.83,40301.44,14674.67,0
123,TRANSFER,3565.66,23236.42,19670.77,45635.13,90630.2,0
563,CASH_OUT,2278.17,24583.47,22305.31,36186.46,43285.62,0
49,CASH_OUT,3085.83,5090.93,2005.1,22411.84,30725.63,0
560,TRANSFER,24462.65,28020.6,3557.94,24282.1,38885.72,1
617,PAYMENT,7691.36,13545.52,5854.16,19863.95,52398.14,0
585,CASH_IN,9454.94,16588.51,26043.45,12497.04,56930.61,0
536,DEBIT,9886.97,30634.54,20747.57,43956.9,92116.32,0
80,CASH_IN,1683.01,13799.08,15482.09,21420.03,33524.11,0
58,PAYMENT,1427.29,48365.55,46938.27,20074.42,7525.4,0
331,CASH_IN,2184.44,8005.92,10190.37,15887.31,75745.08,0
259,CASH_OUT,5006.97,26893.46,21886.5,44332.54,58607.98,0
25,PAYMENT,837.25,8663.73,7826.48,37109.9,63703.92,0
234,PAYMENT,9312.53,1804.51,0,39091.13,19617.43,0
706,DEBIT,8348.1,12512.29,4164.19,33627.77,60137.66,0
400,TRANSFER,11.97,30325.69,30313.72,431.01,90740.0,0
157,CASH_IN,6790.72,31749.27,38539.99,40608.67,92008.67,0
425,TRANSFER,701.71,18339.35,17637.64,20463.51,54370.14,0
733,CASH_IN,1957.96,45848.53,47806.49,209.03,86165.51,0
517,CASH_OUT,41545.4,55239.32,13693.92,44860.41,74365.54,1
717,PAYMENT,5451.11,20372.9,14921.79,36164.42,2973.95,0
652,PAYMENT,4323.81,42200.13,37876.32,20328.96,86466.53,0
615,TRANSFER,377.93,49701.79,49323.85,45435.49,9114.09,0
134,TRANSFER,4809.74,10306.37,5496.63,19765.94,57133.07,0
347,CASH_OUT,4585.9,42369.3,37783.4,29247.95,2879.43,0
24,CASH_OUT,4370.74,21039.35,16668.62,42982.42,31738.24,0
103,CASH_IN,1356.62,7465.57,8822.19,23585.62,16850.05,0
167,CASH_IN,8102.9,18258.22,26361.12,25443.79,29365.33,0
495,CASH_OUT,4211.98,37678.22,33466.24,42810.73,64151.45,0
187,CASH_IN,9363.45,25892.5,35255.96,25301.38,88962.44,0
12,CASH_IN,6538.52,33674.65,40213.17,21122.85,5451.13,0
633,PAYMENT,1563.28,31493.26,29929.97,43567.47,46076.3,0
230,CASH_OUT,8977.22,23323.79,14346.57,30004.33,85613.83,0
288,CASH_OUT,2184.2,40251.9,38067.69,19074.26,65096.07,0
533,CASH_OUT,7864.06,29084.86,21220.8,41881.39,40519.86,0
717,CASH_OUT,5742.11,16094.83,10352.71,33385.48,70772.89,0
553,TRANSFER,8766.55,42479.77,33713.21,8860.83,68153.17,0
182,TRANSFER,6240.69,34029.97,27789.28,45838.2,11097.18,0
674,PAYMENT,2484.12,2785.23,301.11,47289.73,90461.95,0
606,DEBIT,2972.31,563.8,0,4613.47,72628.99,0
2,TRANSFER,18274.65,7927.41,0,33211.88,33020.0,1
572,PAYMENT,3430.16,16322.32,12892.15,41131.44,15177.86,0
719,PAYMENT,1788.8,24639.58,22850.78,16923.77,7928.8,0
281,TRANSFER,7791.3,5785.19,0,9237.32,76244.75,0
593,CASH_IN,6646.17,2976.26,9622.43,2156.73,35464.12,0
94,CASH_OUT,3844.65,48529.81,44685.16,35544.03,92412.72,0
408,CASH_IN,7465.49,34956.12,42421.61,3210.7,51339.18,0
639,DEBIT,819.92,47404.16,46584.24,42770.79,120.73,0
183,CASH_OUT,4050.87,19162.83,15111.96,41052.64,61793.24,0
231,CASH_OUT,4064.51,37742.36,33677.85,2145.45,32048.76,0
184,CASH_IN,4627.78,22275.51,26903.29,23321.98,96588.55,0
322,TRANSFER,4722.35,10063.0,5340.65,4533.9,8715.6,0
611,TRANSFER,6528.32,19080.9,12552.58,34589.74,79532.52,0
156,PAYMENT,8217.24,42130.07,33912.83,44567.07,72004.14,0
415,CASH_OUT,2591.5,9709.14,7117.64,28033.55,13337.14,0
249,CASH_OUT,2034.16,32511.94,30477.78,46111.31,84713.34,0
431,CASH_OUT,6483.73,25135.02,18651.3,48890.79,40554.5,0
287,DEBIT,6804.31,6381.15,0,48754.14,39390.37,0
161,DEBIT,3955.87,36032.11,32076.25,14509.37,16140.42,0
271,CASH_OUT,3776.05,18928.93,15152.88,10738.51,37478.47,0
245,PAYMENT,8038.11,23622.23,15584.11,9522.17,91526.62,0
98,PAYMENT,153.32,39479.02,39325.7,28565.88,64315.1,0
297,PAYMENT,1193.19,42098.95,40905.75,22968.83,63200.09,0
599,CASH_OUT,5324.11,32853.83,27529.72,10016.58,82152.48,0
489,CASH_IN,2697.13,24277.34,26974.46,21906.46,13348.67,0
392,PAYMENT,6948.58,21283.67,14335.08,1063.38,52887.66,0
205,TRANSFER,6175.94,22285.11,16109.17,13698.15,7442.69,0
222,CASH_IN,5349.55,32391.07,37740.63,21312.23,79562.1,0
13,TRANSFER,460.77,18516.84,18056.07,46011.33,17896.09,0
398,CASH_IN,2818.41,43575.71,46394.11,37446.72,77507.08,0
22,TRANSFER,6811.38,36665.82,29854.44,32804.18,362.65,0
394,DEBIT,4318.41,47188.36,42869.96,1191.77,20645.33,0
148,PAYMENT,3757.43,19155.77,15398.34,16025.14,81090.89,0
172,CASH_IN,8267.92,10899.85,19167.76,13178.73,51172.64,0
314,DEBIT,8213.61,24736.12,16522.51,26448.01,70045.55,0
18,PAYMENT,2947.3,8393.78,5446.49,4735.06,77158.95,0
454,TRANSFER,9114.95,35379.14,26264.19,32381.62,75510.77,0
193,DEBIT,6477.78,20285.58,13807.8,12111.36,67299.98,0
619,DEBIT,3470.89,46304.94,42834.05,457.8,93191.54,0
52,PAYMENT,8131.97,43769.95,35637.98,42612.43,36021.47,0
618,PAYMENT,3779.37,1525.44,0,41328.11,76344.58,0
487,TRANSFER,22825.27,88727.55,65902.29,28783.54,71834.59,1
544,CASH_OUT,47506.98,89251.17,41744.19,30632.62,71927.4,1
184,DEBIT,9446.63,37114.91,27668.27,35107.67,61388.9,0
599,PAYMENT,1554.95,8636.56,7081.61,23302.76,40651.26,0
472,CASH_OUT,501.69,30166.75,29665.06,18464.82,42570.25,0
492,DEBIT,988.7,26232.27,25243.56,33175.63,32055.31,0
346,CASH_OUT,3110.18,42220.91,39110.72,42911.74,68485.2,0
176,DEBIT,7542.6,1636.41,0,33078.38,60072.67,0
605,CASH_OUT,2697.14,39529.21,36832.07,17267.98,62888.58,0
112,PAYMENT,3150.52,21656.48,18505.96,37376.58,4361.96,0
228,CASH_IN,3132.67,45418.93,48551.6,29775.92,80894.47,0
127,DEBIT,4883.1,18491.87,13608.77,14331.25,40903.32,0
656,CASH_IN,4390.28,10484.51,14874.79,32844.21,80390.99,0
570,CASH_IN,7624.89,27137.51,34762.4,39365.26,64909.73,0
366,PAYMENT,5373.17,37512.08,32138.91,34984.07,85940.15,0
40,CASH_OUT,5021.32,42585.35,37564.03,4522.58,29175.23,0
353,CASH_IN,7468.63,15419.89,22888.51,24389.96,92796.6,0
576,PAYMENT,3121.19,47464.48,44343.29,17090.3,8592.39,0
590,DEBIT,6048.15,48349.61,42301.47,36863.28,61588.72,0
309,DEBIT,2784.93,48090.98,45306.05,40071.74,74699.28,0
545,TRANSFER,3412.08,34053.21,30641.12,25153.11,62592.17,0
363,CASH_IN,2718.39,23953.16,26671.55,47318.3,15246.62,0
201,DEBIT,7605.06,12633.78,5028.72,318.89,41003.61,0
674,DEBIT,6049.84,21274.48,15224.64,7674.57,99244.9,0
514,PAYMENT,1218.02,43573.99,42355.97,32980.05,14000.7,0
603,CASH_IN,4375.91,4189.38,8565.29,977.26,68903.16,0
724,CASH_OUT,4271.11,42466.0,38194.89,12983.0,57514.27,0
349,CASH_IN,7164.4,33442.85,40607.25,48001.75,27493.71,0
289,PAYMENT,1615.0,26937.42,25322.42,3496.76,8971.51,0
492,CASH_IN,4672.99,4485.6,9158.59,29838.64,35073.23,0
433,DEBIT,9023.97,20343.03,11319.06,45827.3,16483.47,0
701,TRANSFER,521.35,41576.87,41055.52,21483.25,59708.68,0
296,PAYMENT,1094.54,14159.17,13064.63,34854.11,49632.87,0
165,TRANSFER,3912.99,8392.43,4479.44,20950.46,59141.64,0
426,TRANSFER,10421.04,42594.21,32173.17,45241.92,58407.94,1
682,PAYMENT,5989.2,15790.13,9800.92,49516.76,12346.4,0
439,TRANSFER,43355.88,18991.17,0,13007.82,32735.27,1
323,CASH_IN,5501.72,31630.07,37131.79,32316.42,39553.77,0
533,CASH_OUT,6365.76,39387.7,33021.94,17963.86,52729.17,0
614,TRANSFER,54.23,22638.03,22583.79,15714.8,3914.32,0
276,DEBIT,4008.1,1913.48,0,25610.22,92235.36,0
336,CASH_OUT,8248.54,24386.38,16137.84,7306.01,27275.76,0
721,PAYMENT,9191.86,27704.84,18512.98,36306.94,55911.39,0
119,CASH_OUT,8684.98,3927.51,0,278.49,33992.98,0
123,CASH_IN,265.67,15405.63,15671.31,48382.98,69229.97,0
604,DEBIT,1440.64,27887.32,26446.68,44673.28,22390.37,0
619,CASH_IN,3619.67,5960.72,9580.39,45200.18,75268.33,0
91,DEBIT,2654.33,42849.16,40194.84,40285.54,10026.16,0
277,PAYMENT,6424.49,12825.9,6401.41,41170.51,53459.49,0
301,TRANSFER,3754.95,7081.4,3326.45,38242.76,68970.58,0
119,PAYMENT,1676.84,20237.87,18561.03,15068.36,74615.05,0
235,PAYMENT,8331.11,9631.68,1300.56,38127.07,80640.91,0
12,TRANSFER,34117.35,54160.06,20042.72,13341.26,64096.18,1
629,CASH_OUT,8095.69,6665.88,0,12309.65,40640.22,0
697,TRANSFER,3918.22,30682.26,26764.04,17289.63,88588.39,0
296,CASH_OUT,6305.25,69179.12,62873.87,34986.68,94267.62,1
626,CASH_OUT,3350.34,13720.85,10370.51,4913.84,65434.33,0
344,PAYMENT,5147.85,45545.2,40397.35,18199.53,5156.26,0
629,DEBIT,5465.28,8340.22,2874.94,37084.84,92658.32,0
502,DEBIT,6240.08,29719.9,23479.81,2454.28,22072.28,0
82,CASH_IN,8010.4,3504.66,11515.06,27900.99,93824.39,0
571,PAYMENT,9767.23,5922.01,0,1626.45,29157.59,0
574,CASH_OUT,8949.24,22699.87,13750.63,35866.29,91084.92,0
387,TRANSFER,2327.06,27092.24,24765.18,33713.26,15053.92,0
606,PAYMENT,7034.83,17908.27,10873.44,28382.57,14210.23,0
426,TRANSFER,10119.66,78864.77,68745.11,43823.03,36585.75,1
729,CASH_OUT,5383.73,43551.64,38167.92,27171.99,53578.55,0
156,CASH_IN,90.12,25444.01,25534.13,6727.52,34864.91,0
727,CASH_OUT,4496.67,40881.17,36384.5,37264.06,70738.45,0
470,CASH_IN,1654.26,541.74,2195.99,7374.55,88295.47,0
18,TRANSFER,7015.25,19155.08,12139.83,34796.56,82197.53,0
629,PAYMENT,6696.43,44597.34,37900.92,44940.38,45441.46,0
544,TRANSFER,2938.29,51275.02,48336.73,42567.13,6852.13,1
685,CASH_OUT,16886.19,49936.34,33050.15,16250.71,48754.99,1
708,CASH_OUT,5309.67,15181.2,9871.53,37644.4,69805.5,0
205,CASH_OUT,2894.56,45114.45,42219.89,10158.73,33337.0,0
179,TRANSFER,671.79,3212.36,2540.57,3361.64,87567.06,0
320,TRANSFER,3434.83,44293.56,40858.72,6963.46,46399.52,0
634,CASH_IN,9346.82,34053.86,43400.68,29128.21,47473.68,0
659,CASH_OUT,3463.22,29945.41,26482.19,30937.52,72899.57,0
472,CASH_OUT,2671.33,34173.68,31502.35,44514.68,49805.53,0
605,DEBIT,5139.76,16011.27,10871.51,47219.07,70851.24,0
636,DEBIT,396.52,14952.91,14556.4,6099.69,84563.21,0
303,CASH_IN,7868.27,8704.31,16572.58,11292.97,3745.18,0
122,CASH_IN,4868.99,25303.82,30172.81,18344.62,55718.0,0
30,CASH_IN,6034.08,32744.73,38778.8,25590.26,40569.08,0
495,DEBIT,1541.62,17335.74,15794.11,24173.6,87387.91,0
168,TRANSFER,1926.73,47111.22,45184.49,12092.82,78779.35,0
555,TRANSFER,1474.94,15779.38,14304.44,17145.02,36883.0,0
396,TRANSFER,6849.4,4097.63,0,47015.46,21285.34,0
132,TRANSFER,6800.81,48952.99,42152.18,13433.24,58838.31,0
380,PAYMENT,1293.53,26779.64,25486.11,32053.55,64697.94,0
551,CASH_OUT,6377.32,34841.44,28464.12,24447.97,60231.74,0
630,CASH_OUT,6807.12,44213.55,37406.42,97.75,42711.45,0
166,DEBIT,6095.41,14376.38,8280.97,19542.17,18117.4,0
135,TRANSFER,7169.68,25152.34,17982.66,42524.32,12719.21,0
29,TRANSFER,43864.22,26860.3,0,29029.49,98355.06,1
625,DEBIT,3140.95,3670.15,529.2,8990.2,76597.68,0
587,CASH_OUT,738.06,13055.64,12317.57,46642.96,38198.68,0
120,TRANSFER,7169.46,24696.98,17527.52,44944.47,44548.27,0
622,CASH_OUT,3977.25,32246.71,28269.46,13349.75,74838.83,0
484,PAYMENT,6812.24,7304.62,492.38,48225.94,97791.07,0
641,TRANSFER,3687.44,34927.33,31239.89,44151.02,66357.01,0
700,TRANSFER,2939.04,47981.31,45042.27,45571.65,2326.41,0
128,DEBIT,3493.65,16307.42,12813.77,17002.28,4174.01,0
420,DEBIT,5343.2,31120.02,25776.81,8495.76,93280.06,0
138,CASH_OUT,6133.12,19812.1,13678.99,5182.82,17687.75,0
695,DEBIT,1490.39,29177.61,27687.23,46240.79,3687.77,0
549,CASH_OUT,172.41,40751.28,40578.87,33701.65,80616.77,0
334,TRANSFER,272.68,3395.84,3123.15,19496.99,32004.15,0
454,CASH_OUT,6379.19,27160.21,20781.02,9132.78,77879.18,0
319,DEBIT,6947.62,29490.5,22542.87,9005.62,62650.77,0
607,CASH_OUT,2414.16,38820.81,36406.65,36325.46,98695.47,0
40,TRANSFER,5296.84,41624.29,36327.45,20861.46,41699.38,0
717,PAYMENT,9900.24,23912.39,14012.15,19899.69,11771.67,0
71,TRANSFER,2691.88,29130.13,26438.25,29194.09,43325.84,0
99,TRANSFER,4759.22,30930.03,26170.82,1951.83,78386.82,0
364,CASH_OUT,17082.91,88151.68,71068.77,35059.19,27626.86,1
460,PAYMENT,1145.26,3192.76,2047.5,29953.85,15607.59,0
19,CASH_OUT,5022.53,26168.96,21146.43,25428.73,58011.06,0
477,DEBIT,7684.03,14600.76,6916.73,18842.22,44109.21,0
645,PAYMENT,7447.5,27704.21,20256.71,6107.08,48122.96,0
591,TRANSFER,542.43,40063.86,39521.43,23916.0,54076.79,0
307,TRANSFER,5640.02,28551.45,22911.43,42472.12,67703.5,0
594,DEBIT,2732.07,1616.67,0,28161.53,6328.38,0
724,DEBIT,4783.35,41520.02,36736.67,24751.28,70414.05,0
290,CASH_IN,7206.92,3717.73,10924.65,35379.34,58374.95,0
446,CASH_OUT,1780.95,43373.85,41592.91,42768.62,77074.48,0
501,TRANSFER,7155.98,37255.04,30099.06,14325.86,8841.6,0
576,TRANSFER,4299.54,27637.62,23338.09,14710.05,14082.67,0
585,TRANSFER,208.33,1637.02,1428.69,27926.5,61200.32,0
591,TRANSFER,4927.04,12276.63,7349.59,21486.16,61325.8,0
45,CASH_OUT,5524.63,9088.37,3563.75,46765.14,18192.89,0
464,PAYMENT,2392.38,38263.0,35870.62,11081.16,14439.89,0
253,CASH_IN,7516.33,19290.7,26807.02,3324.22,58455.65,0
675,CASH_OUT,3074.66,45182.32,42107.66,45466.89,67330.08,0
705,CASH_OUT,2043.17,5141.53,3098.36,19446.44,62700.5,0
530,CASH_IN,5993.98,28398.43,34392.41,931.0,71954.73,0
533,DEBIT,7848.83,35974.95,28126.11,1587.29,49792.51,0
379,CASH_IN,9236.14,5996.02,15232.16,6714.24,74982.62,0
583,TRANSFER,2114.46,2909.77,795.31,32182.2,32317.08,0
521,CASH_IN,7077.51,36826.03,43903.53,4429.75,81730.02,0
226,DEBIT,4544.58,8595.71,4051.13,18035.83,28926.14,0
191,CASH_OUT,3467.83,43922.43,40454.6,5063.1,29017.73,0
3,CASH_IN,7482.09,49689.01,57171.1,37676.87,84648.75,0
210,DEBIT,9521.1,1623.17,0,20826.83,68240.34,0
249,CASH_OUT,6619.05,27732.25,21113.2,31254.33,17734.69,0
401,DEBIT,381.48,49669.05,49287.58,30123.24,76341.84,0
69,CASH_OUT,6591.56,44172.27,37580.71,4356.4,37276.7,0
466,PAYMENT,4066.05,27621.84,23555.78,41892.63,14278.79,0
351,CASH_IN,3593.15,9827.09,13420.24,47404.22,91820.54,0
321,PAYMENT,7826.68,3569.11,0,40119.35,5478.88,0
253,DEBIT,6685.66,44156.27,37470.61,21142.03,57053.97,0
633,TRANSFER,7292.76,9749.58,2456.83,14056.94,11502.0,0
493,CASH_OUT,5643.42,47219.06,41575.63,18945.91,51510.22,0
435,DEBIT,3793.39,11868.37,8074.99,23031.26,15512.14,0
619,DEBIT,7517.51,46428.65,38911.14,17677.57,23636.23,0
252,CASH_IN,4187.18,25106.56,29293.74,26688.53,53247.44,0
150,CASH_IN,177.6,10382.35,10559.95,43217.51,38035.26,0
